Start,Finish,Steps (count)
02-Jul-2018 16:00,02-Jul-2018 17:00,0.0
02-Jul-2018 17:00,02-Jul-2018 18:00,0.0
02-Jul-2018 18:00,02-Jul-2018 19:00,917.0
02-Jul-2018 19:00,02-Jul-2018 20:00,191.0
02-Jul-2018 20:00,02-Jul-2018 21:00,26.0
02-Jul-2018 21:00,02-Jul-2018 22:00,0.0
02-Jul-2018 22:00,02-Jul-2018 23:00,0.0
02-Jul-2018 23:00,03-Jul-2018 00:00,59.0
03-Jul-2018 00:00,03-Jul-2018 01:00,0.0
03-Jul-2018 01:00,03-Jul-2018 02:00,0.0
03-Jul-2018 02:00,03-Jul-2018 03:00,0.0
03-Jul-2018 03:00,03-Jul-2018 04:00,0.0
03-Jul-2018 04:00,03-Jul-2018 05:00,0.0
03-Jul-2018 05:00,03-Jul-2018 06:00,0.0
03-Jul-2018 06:00,03-Jul-2018 07:00,0.0
03-Jul-2018 07:00,03-Jul-2018 08:00,0.0
03-Jul-2018 08:00,03-Jul-2018 09:00,0.0
03-Jul-2018 09:00,03-Jul-2018 10:00,132.0
03-Jul-2018 10:00,03-Jul-2018 11:00,1019.0
03-Jul-2018 11:00,03-Jul-2018 12:00,757.0
03-Jul-2018 12:00,03-Jul-2018 13:00,1131.57617671401
03-Jul-2018 13:00,03-Jul-2018 14:00,2196.42382328599
03-Jul-2018 14:00,03-Jul-2018 15:00,228.0
03-Jul-2018 15:00,03-Jul-2018 16:00,0.0
03-Jul-2018 16:00,03-Jul-2018 17:00,0.0
03-Jul-2018 17:00,03-Jul-2018 18:00,913.711958841406
03-Jul-2018 18:00,03-Jul-2018 19:00,727.288041158594
03-Jul-2018 19:00,03-Jul-2018 20:00,0.0
03-Jul-2018 20:00,03-Jul-2018 21:00,465.0
03-Jul-2018 21:00,03-Jul-2018 22:00,96.0
03-Jul-2018 22:00,03-Jul-2018 23:00,33.0
03-Jul-2018 23:00,04-Jul-2018 00:00,0.0
04-Jul-2018 00:00,04-Jul-2018 01:00,0.0
